Date,Open,High,Low,Close,Volume,Adj Close
2016-07-29,11.7,11.99,11.55,11.6,8188605.0,49.79
2016-07-28,11.68,11.9,11.44,11.84,13796881.0,50.82
2016-07-27,12.5,12.5,11.51,11.6,20731272.0,49.79
2016-07-26,12.11,12.75,12.11,12.51,16785551.0,53.69
2016-07-25,12.4,12.84,12.19,12.2,23939232.0,52.36
2016-07-22,12.36,12.82,12.29,12.51,33475455.0,53.69
2016-07-21,11.81,13.04,11.79,12.74,51360583.0,54.68
2016-07-20,11.8,12.3,11.28,11.85,51109602.0,50.86
2016-07-19,11.46,11.47,11.26,11.47,10696195.0,49.23
2016-06-20,10.5,10.58,10.22,10.46,11247785.0,44.79
2016-06-17,9.87,10.78,9.84,10.49,20240555.0,44.92
2016-06-16,9.89,10.03,9.76,9.81,6074204.0,42.01
2016-06-15,9.5,10.09,9.4,9.94,7352017.0,42.57
2016-06-14,9.61,9.71,9.51,9.69,5787979.0,41.5
2016-06-13,10.13,10.15,9.61,9.61,8015401.0,41.15
2016-06-08,10.31,10.39,10.16,10.27,6554932.0,43.98
2016-06-07,10.21,10.46,10.12,10.4,8727618.0,44.54
2016-06-06,10.35,10.42,10.1,10.21,7572781.0,43.72
2016-06-03,10.46,10.47,10.32,10.34,7936493.0,44.28
2016-06-02,10.3,10.43,10.2,10.37,8512701.0,44.41
2016-06-01,10.35,10.57,10.3,10.34,10215455.0,44.28
2016-05-31,9.9,10.45,9.9,10.4,10696933.0,44.54
2016-05-30,10.2,10.2,9.91,9.94,8675983.0,42.57
2016-05-27,9.61,10.3,9.53,10.03,9365771.0,42.95
2016-05-26,9.57,9.65,9.35,9.63,4652177.0,41.24
2016-05-25,9.63,9.71,9.53,9.57,5169399.0,40.98
2016-05-24,9.66,9.66,9.44,9.53,4302855.0,40.81
2016-05-23,9.55,9.69,9.55,9.69,4770968.0,41.5
2016-05-20,9.39,9.56,9.3,9.55,4537659.0,40.9
2016-05-19,9.42,9.62,9.4,9.45,4183148.0,40.47
2016-05-18,9.77,9.79,9.31,9.4,5469721.0,40.25
2016-05-17,9.77,9.97,9.67,9.82,4609236.0,42.05
2016-05-16,9.65,9.76,9.5,9.76,3865472.0,41.8
2016-05-13,9.76,9.96,9.55,9.63,5649948.0,41.24
2016-05-12,9.76,9.86,9.48,9.8,4314783.0,41.97
2016-05-11,10.0,10.11,9.83,9.86,4141044.0,42.22
2016-05-10,9.83,10.06,9.83,9.96,4165333.0,42.65
2016-05-09,10.15,10.15,9.8,9.89,6985038.0,42.35
2016-05-06,10.8,10.86,10.25,10.27,10719138.0,43.98
2016-05-05,10.65,10.89,10.52,10.82,8608097.0,46.34
2016-05-04,10.73,10.97,10.6,10.64,8912143.0,45.56
2016-05-03,10.38,10.84,10.27,10.75,9057998.0,46.03
2016-04-29,10.2,10.46,10.08,10.38,6433254.0,44.45
2016-04-28,10.35,10.44,9.91,10.24,8463955.0,43.85
2016-04-27,10.53,10.55,10.33,10.35,6143838.0,44.32
2016-04-26,10.42,10.53,10.29,10.53,8411244.0,45.09
2016-04-25,10.57,10.58,10.31,10.51,4884021.0,45.01
2016-04-22,10.3,10.65,10.3,10.58,8496484.0,45.31
2016-04-21,10.64,10.68,10.22,10.28,9593586.0,44.02
2016-04-20,11.62,11.73,10.46,10.59,18151020.0,45.35
2016-04-19,11.6,11.75,11.47,11.62,7928935.0,49.76
2016-04-18,11.84,11.84,11.41,11.5,9750522.0,49.25
2016-04-15,12.04,12.47,11.84,11.91,9659051.0,51.0
2016-04-14,12.0,12.05,11.8,12.03,11578472.0,51.52
2016-04-13,12.0,12.21,11.87,11.87,18185748.0,50.83
2016-04-12,12.38,12.38,11.8,11.91,16070819.0,51.0
2016-04-11,12.05,12.48,11.79,12.32,25104888.0,52.76
2016-04-08,11.42,12.15,11.4,11.9,24857008.0,50.96
2016-04-07,12.0,12.0,11.63,11.69,29061690.0,50.06
2016-04-06,11.01,12.03,11.01,12.03,35442212.0,51.52
2016-04-05,10.65,10.95,10.57,10.94,11197520.0,46.85
2016-04-01,10.59,10.71,10.39,10.56,8194939.0,45.22
2016-03-31,10.97,10.97,10.5,10.62,12335621.0,45.48
2016-03-30,10.6,10.86,10.53,10.86,8653970.0,46.51
2016-03-29,10.8,10.87,10.32,10.46,9589987.0,44.79
2016-03-28,10.92,11.19,10.8,10.84,11999022.0,46.42
2016-03-25,10.63,10.85,10.6,10.79,8332668.0,46.21
2016-03-24,10.97,10.97,10.63,10.65,12281506.0,45.61
2016-03-23,10.97,11.13,10.85,11.06,10287956.0,47.36
2016-03-22,10.88,11.26,10.8,10.99,16235112.0,47.06
2016-03-21,10.68,11.26,10.5,11.15,20695654.0,47.75
2016-03-18,10.16,10.56,10.1,10.52,16736667.0,45.05
2016-03-17,9.79,10.1,9.7,10.08,11434921.0,43.17
2016-03-16,10.08,10.15,9.64,9.72,5986134.0,41.62
2016-03-15,10.15,10.15,9.8,9.84,8708606.0,42.14
2016-03-14,9.92,10.28,9.82,10.09,11193354.0,43.21
2016-03-11,9.6,9.75,9.5,9.7,6888145.0,41.54
2016-03-10,9.63,9.75,9.4,9.55,5720441.0,40.9
2016-03-09,9.6,9.8,9.51,9.59,5459058.0,41.07
2016-03-08,9.95,9.95,9.3,9.88,8562963.0,42.31
2016-03-07,9.7,10.13,9.68,9.85,7163718.0,42.18
2016-03-04,10.05,10.2,9.41,9.6,8824135.0,41.11
2016-03-03,10.2,10.45,10.09,10.14,10032703.0,43.42
2016-03-02,9.9,10.3,9.75,10.25,10136079.0,43.89
2016-03-01,9.52,9.92,9.32,9.83,9199550.0,42.09
2016-02-29,10.02,10.15,9.1,9.41,9319750.0,40.3
2016-02-26,10.15,10.25,9.68,10.0,8872577.0,42.82
2016-02-25,11.07,11.08,9.92,9.92,12079519.0,42.48
2016-02-24,11.12,11.25,10.6,11.02,10645911.0,47.19
2016-02-23,11.42,11.48,10.91,11.12,9736972.0,47.62
2016-02-22,11.48,11.5,11.21,11.4,8736222.0,48.82
2016-02-19,11.03,11.28,11.01,11.19,7215951.0,47.92
2016-02-18,11.47,11.47,11.1,11.15,9852731.0,47.75
2016-02-17,11.2,11.34,10.98,11.25,9963835.0,48.18
2016-02-16,10.73,11.34,10.73,11.24,9255355.0,48.13
2016-02-15,10.4,10.88,10.1,10.7,6941961.0,45.82
2016-02-05,10.71,11.19,10.71,10.82,9058001.0,46.34
2016-02-04,10.4,10.8,10.4,10.64,8350876.0,45.56
2016-02-03,10.3,10.52,10.1,10.44,6559621.0,44.71
2016-02-02,10.25,10.55,10.15,10.46,7698580.0,44.79
2016-02-01,10.0,10.24,9.92,10.06,7872937.0,43.08
2016-01-29,9.98,10.26,9.6,10.13,8923124.0,43.38
2016-01-28,10.0,10.24,9.36,9.47,7031199.0,40.55
2016-01-27,10.51,10.79,9.49,10.28,10101743.0,44.02
2016-01-26,11.6,11.6,10.48,10.5,11805049.0,44.97
2016-01-25,11.61,11.81,11.49,11.64,7516891.0,49.85
2016-01-22,11.6,11.7,10.97,11.52,9862278.0,49.33
2016-01-21,11.89,12.45,11.3,11.33,15638488.0,48.52
2016-01-20,11.95,12.48,11.88,12.21,16653171.0,52.29
2016-01-19,11.69,12.19,11.39,12.11,16951880.0,51.86
2016-01-18,11.16,11.94,11.05,11.71,10973674.0,50.15
2016-01-15,12.09,12.1,11.3,11.45,13037603.0,49.03
2016-01-14,11.0,12.07,10.91,12.0,14512079.0,51.39
2016-01-13,11.59,12.22,11.4,11.41,17876234.0,48.86
2016-01-12,11.32,11.59,10.9,11.42,14485973.0,48.9
2016-01-11,11.98,12.1,11.11,11.11,13579406.0,47.58
2016-01-08,12.57,12.99,11.38,12.34,13641679.0,52.84
2016-01-07,13.32,13.32,12.31,12.31,3486880.0,52.72
2016-01-06,12.96,14.0,12.81,13.68,15874330.0,58.58
2016-01-05,12.23,13.53,12.22,12.8,16593859.0,54.81
2016-01-04,15.04,15.1,13.55,13.55,11591908.0,58.03
2015-12-31,15.73,15.76,15.01,15.05,13672874.0,64.45
2015-12-30,15.33,15.78,15.17,15.68,13866457.0,67.15
2015-12-29,15.3,15.49,15.0,15.33,11272629.0,65.65
2015-12-28,15.95,16.2,15.36,15.41,18162852.0,65.99
2015-12-25,15.8,16.16,15.58,15.61,15667998.0,66.85
2015-12-24,15.8,16.21,14.87,16.09,26739632.0,68.9
2015-12-23,16.77,16.91,15.53,15.82,46625416.0,67.75
2015-12-22,15.0,16.23,15.0,16.23,12580924.0,69.5
2015-12-21,14.8,14.85,14.51,14.75,11294631.0,63.16
2015-12-18,15.06,15.29,14.71,14.79,16444572.0,63.34
2015-12-17,14.78,15.09,14.7,15.03,17848848.0,64.36
2015-12-16,14.43,14.99,14.43,14.61,17229768.0,62.56
2015-12-15,14.45,14.79,14.4,14.42,15293391.0,61.75
2015-12-14,13.6,14.83,13.35,14.64,20919420.0,62.69
2015-12-11,14.11,14.18,13.63,13.77,13054186.0,58.97
2015-12-10,14.4,14.5,14.12,14.2,12343286.0,60.81
2015-12-09,14.67,14.8,14.0,14.26,20680628.0,61.07
2015-12-08,15.45,15.5,14.8,14.82,17683416.0,63.47
2015-12-07,15.6,15.9,15.31,15.55,16853528.0,66.59
2015-12-04,15.4,16.12,15.28,15.76,23303166.0,67.49
2015-12-03,15.04,15.5,15.01,15.5,17184456.0,66.38
2015-12-02,15.6,15.79,14.1,14.84,18332820.0,63.55
2015-12-01,15.72,16.4,15.24,15.58,26198348.0,66.72
2015-11-30,15.03,16.3,14.52,15.99,36643832.0,68.47
2015-11-27,16.38,16.38,15.15,15.16,42666244.0,64.92
2015-11-26,17.45,17.59,16.8,16.83,33457192.0,72.07
2015-11-25,17.1,17.6,17.0,17.48,37775408.0,74.86
2015-11-24,16.68,17.71,16.53,17.59,45183080.0,75.33
2015-11-23,20.25,20.25,17.11,17.29,92321728.0,74.04
2015-11-20,18.3,18.79,18.0,18.79,54422664.0,80.47
2015-11-19,15.6,17.08,15.5,17.08,57953240.0,73.14
2015-11-18,14.97,16.33,14.93,15.53,51024472.0,66.5
2015-11-17,15.44,15.65,14.88,14.94,39323600.0,63.98
2015-11-16,14.2,15.43,14.0,15.32,36856936.0,65.61
2015-11-13,14.1,15.84,14.02,14.66,49811756.0,62.78
2015-11-12,14.55,14.56,13.95,14.4,37532624.0,61.67
2015-11-11,14.07,14.38,13.81,14.3,39113680.0,61.24
2015-11-10,13.85,14.42,13.61,13.95,37989516.0,59.74
2015-11-09,13.44,14.2,13.0,13.88,45046204.0,59.44
2015-11-06,13.4,13.73,13.25,13.52,37554528.0,57.9
2015-11-05,13.0,13.74,12.94,13.33,36298768.0,57.08
2015-11-04,12.34,12.99,12.34,12.95,20759068.0,55.46
2015-11-03,12.9,13.04,12.38,12.49,16346233.0,53.49
2015-11-02,12.27,13.49,12.27,12.89,23549724.0,55.2
2015-10-30,12.91,12.97,12.51,12.68,16242117.0,54.3
2015-10-29,12.99,13.24,12.61,12.87,16658991.0,55.11
2015-10-28,13.51,13.52,12.81,12.87,23875132.0,55.11
2015-10-27,13.81,13.81,12.8,13.5,30203332.0,57.81
2015-10-26,13.4,13.98,13.01,13.8,35648120.0,59.1
2015-10-23,12.71,13.3,12.71,13.17,29014152.0,56.4
2015-10-22,12.12,12.85,12.01,12.72,28733464.0,54.47
2015-10-21,13.57,13.97,12.31,12.31,44291020.0,52.72
2015-10-20,12.83,13.8,12.82,13.68,38391576.0,58.58
2015-10-19,13.65,13.65,12.8,13.02,35489504.0,55.76
2015-10-16,13.83,13.95,13.3,13.6,39736296.0,58.24
2015-10-15,13.15,13.97,13.06,13.81,50784812.0,59.14
2015-10-14,14.75,15.3,13.6,13.6,74485192.0,58.24
2015-10-13,13.15,14.34,13.04,14.34,40126976.0,61.41
2015-10-12,12.8,13.3,12.08,13.04,66778576.0,55.84
2015-10-09,39.79,41.88,38.8,40.05,15942808.0,53.55
2015-10-08,38.68,40.19,37.82,40.19,14053070.0,53.73
2015-09-30,37.05,38.0,35.01,36.54,11558825.0,48.85
2015-09-29,38.1,39.64,36.41,37.52,19904100.0,50.16
2015-09-28,35.22,37.85,34.11,37.3,13354453.0,49.87
2015-09-25,36.0,37.8,32.58,34.45,15195671.0,46.06
2015-09-24,35.4,36.75,34.85,36.1,12263853.0,48.26
2015-09-23,32.42,36.15,32.2,35.0,14165040.0,46.79
2015-09-22,33.5,35.26,33.04,33.54,14957882.0,44.84
2015-09-21,29.0,32.7,28.6,32.7,9546183.0,43.72
2015-09-18,28.4,29.95,27.84,29.73,9583009.0,39.75
2015-09-17,28.7,30.5,27.8,27.84,13459794.0,37.22
2015-09-16,27.0,29.14,26.4,29.02,12032865.0,38.8
2015-09-15,26.61,27.9,26.49,26.49,10892682.0,35.42
2015-09-14,32.48,32.7,29.43,29.43,7457378.0,39.35
2015-09-11,32.15,32.95,32.03,32.7,8155528.0,43.72
2015-09-10,32.0,33.18,31.69,32.18,10470670.0,43.02
2015-09-09,31.03,34.1,30.8,33.35,15948938.0,44.59
2015-09-08,28.11,31.5,28.1,31.35,11930907.0,41.91
2015-09-07,29.0,30.59,28.07,28.9,13890847.0,38.64
2015-09-02,27.81,31.77,27.81,27.81,13376065.0,37.18
